+-----------------+-----------------------------+---------------------+-----------------+----------------------------------------------------+---------------------------+-----------------------+-----------------------+----------------------------------------------------+-----------------------+----------------------------------------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |            Title            |      Equations      |  Observations   |             All minimal conflicts FDT              | All minimal diagnosis FDT | Minimal conflicts FDT | Minimal diagnosis FDT |               All minimal conflicts                | All minimal diagnosis |                 Minimal conflicts                  | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|                 |                             |                     |                 |                                                    |        O2, O4, O5         |                       |                       |                                                    |      O2, O4, O5       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O4, O6         |                       |                       |                                                    |      O2, O4, O6       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O4, O8         |                       |                       |                                                    |      O2, O4, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O5, O6         |                       |                       |                                                    |      O2, O5, O6       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O5, O7         |                       |                       |                                                    |      O2, O5, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O5, O8         |                       |                       |                                                    |      O2, O5, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O5, O9         |                       |                       |                                                    |      O2, O5, O9       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O6, O7         |                       |                       |                                                    |      O2, O6, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O6, O9         |                       |                       |                                                    |      O2, O6, O9       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O7, O8         |                       |                       |                                                    |      O2, O7, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O2, O8, O9         |                       |                       |                                                    |      O2, O8, O9       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O3, O5, O7         |                       |                       |                                                    |      O3, O5, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O3, O6, O7         |                       |                       |                                                    |      O3, O6, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O3, O7, O8         |                       |                       |                                                    |      O3, O7, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O4, O5, O7         |                       |                       |                                                    |      O4, O5, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O4, O6, O7         |                       |                       |                                                    |      O4, O6, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O4, O7, O8         |                       |                       |                                                    |      O4, O7, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O5, O6, O7         |                       |                       |                                                    |      O5, O6, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O5, O7, O8         |                       |                       |                                                    |      O5, O7, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O5, O7, O9         |                       |                       |                                                    |      O5, O7, O9       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O6, O7, O9         |                       |                       |                                                    |      O6, O7, O9       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        O7, O8, O9         |                       |                       |                                                    |      O7, O8, O9       |                                                    |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                  ---------------                   |      ---------------      |    ---------------    |    ---------------    |                  ---------------                   |    ---------------    |                  ---------------                   |  ---------------  |     ---------------     |     ---------------     |
|       11        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                 A1, A5, O1, O2, O7                 |        A1, A2, A4         |                       |                       |                 A1, A5, O1, O2, O7                 |      A1, A2, A4       |                 A1, A5, O1, O2, O7                 |      A1, A2       |                         |                         |
|                 |                             |   O2: b | d = x02   |      b = 1      |                 A4, A6, O5, O6, O8                 |        A1, A2, A6         |                       |                       |                 A4, A6, O5, O6, O8                 |      A1, A2, A6       |             A2, A3, O2, O3, O4, O5, O9             |      A1, A3       |                         |                         |
|                 |                             |   O3: c | e = x03   |      c = 1      |             A2, A3, O2, O3, O4, O5, O9             |        A1, A2, O5         |                       |                       |             A2, A3, O2, O3, O4, O5, O9             |      A1, A2, O5       |       A1, A2, A3, A5, O1, O3, O4, O5, O7, O9       |      A1, O2       |                         |                         |
|                 |                             |   O4: f | h = x04   |      d = 1      |       A1, A2, A3, A5, O1, O3, O4, O5, O7, O9       |        A1, A2, O6         |                       |                       |       A1, A2, A3, A5, O1, O3, O4, O5, O7, O9       |      A1, A2, O6       |       A2, A3, A4, A6, O2, O3, O4, O6, O8, O9       |      A1, O3       |                         |                         |
|                 |                             |   O5: g | i = x05   |      e = 1      |       A2, A3, A4, A6, O2, O3, O4, O6, O8, O9       |        A1, A2, O8         |                       |                       |       A2, A3, A4, A6, O2, O3, O4, O6, O8, O9       |      A1, A2, O8       | A1, A2, A3, A4, A5, A6, O1, O3, O4, O6, O7, O8, O9 |      A1, O4       |                         |                         |
|                 |                             |   O6: h | j = x06   |      f = 1      | A1, A2, A3, A4, A5, A6, O1, O3, O4, O6, O7, O8, O9 |        A1, A3, A4         |                       |                       | A1, A2, A3, A4, A5, A6, O1, O3, O4, O6, O7, O8, O9 |      A1, A3, A4       |                                                    |      A1, O9       |                         |                         |
|                 |                             |   O7: k | m = x07   |      g = 1      |                                                    |        A1, A3, A6         |                       |                       |                                                    |      A1, A3, A6       |                                                    |      A2, A5       |                         |                         |
|                 |                             | A1: x01 & x02 = x08 |      h = 1      |                                                    |        A1, A3, O5         |                       |                       |                                                    |      A1, A3, O5       |                                                    |      A2, O1       |                         |                         |
|                 |                             | A2: x02 & x03 = x09 |      i = 1      |                                                    |        A1, A3, O6         |                       |                       |                                                    |      A1, A3, O6       |                                                    |      A2, O2       |                         |                         |
|                 |                             | A3: x04 & x05 = x10 |      j = 1      |                                                    |        A1, A3, O8         |                       |                       |                                                    |      A1, A3, O8       |                                                    |      A2, O7       |                         |                         |
|                 |                             | A4: x05 & x06 = x11 |      k = 1      |                                                    |        A1, A4, O2         |                       |                       |                                                    |      A1, A4, O2       |                                                    |      A3, A5       |                         |                         |
|                 |                             |   O8: n | o = x12   |      m = 1      |                                                    |        A1, A4, O3         |                       |                       |                                                    |      A1, A4, O3       |                                                    |      A3, O1       |                         |                         |
|                 |                             |  A5: x07 & x08 = p  |      n = 1      |                                                    |        A1, A4, O4         |                       |                       |                                                    |      A1, A4, O4       |                                                    |      A3, O2       |                         |                         |
|                 |                             |  O9: x09 | x10 = q  |      o = 1      |                                                    |        A1, A4, O5         |                       |                       |                                                    |      A1, A4, O5       |                                                    |      A3, O7       |                         |                         |
|                 |                             |  A6: x11 & x12 = r  |      p = 0      |                                                    |        A1, A4, O9         |                       |                       |                                                    |      A1, A4, O9       |                                                    |      A5, O2       |                         |                         |
|                 |                             |                     |      q = 0      |                                                    |        A1, A6, O2         |                       |                       |                                                    |      A1, A6, O2       |                                                    |      A5, O3       |                         |                         |
|                 |                             |                     |      r = 1      |                                                    |        A1, A6, O3         |                       |                       |                                                    |      A1, A6, O3       |                                                    |      A5, O4       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, A6, O4         |                       |                       |                                                    |      A1, A6, O4       |                                                    |      A5, O9       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, A6, O5         |                       |                       |                                                    |      A1, A6, O5       |                                                    |      O1, O2       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, A6, O9         |                       |                       |                                                    |      A1, A6, O9       |                                                    |      O1, O3       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O2, O5         |                       |                       |                                                    |      A1, O2, O5       |                                                    |      O1, O4       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O2, O6         |                       |                       |                                                    |      A1, O2, O6       |                                                    |      O1, O9       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O2, O8         |                       |                       |                                                    |      A1, O2, O8       |                                                    |      O2, O3       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O3, O5         |                       |                       |                                                    |      A1, O3, O5       |                                                    |      O2, O4       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O3, O6         |                       |                       |                                                    |      A1, O3, O6       |                                                    |      O2, O7       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O3, O8         |                       |                       |                                                    |      A1, O3, O8       |                                                    |      O2, O9       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O4, O5         |                       |                       |                                                    |      A1, O4, O5       |                                                    |      O3, O7       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O4, O6         |                       |                       |                                                    |      A1, O4, O6       |                                                    |      O4, O7       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O4, O8         |                       |                       |                                                    |      A1, O4, O8       |                                                    |      O7, O9       |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O5, O6         |                       |                       |                                                    |      A1, O5, O6       |                                                    |    A1, A4, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O5, O8         |                       |                       |                                                    |      A1, O5, O8       |                                                    |    A1, A6, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O5, O9         |                       |                       |                                                    |      A1, O5, O9       |                                                    |    A1, O5, O6     |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O6, O9         |                       |                       |                                                    |      A1, O6, O9       |                                                    |    A1, O5, O8     |                         |                         |
|                 |                             |                     |                 |                                                    |        A1, O8, O9         |                       |                       |                                                    |      A1, O8, O9       |                                                    |    A4, A5, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A4, A5         |                       |                       |                                                    |      A2, A4, A5       |                                                    |    A4, O1, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A4, O1         |                       |                       |                                                    |      A2, A4, O1       |                                                    |    A4, O2, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A4, O2         |                       |                       |                                                    |      A2, A4, O2       |                                                    |    A4, O5, O7     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A4, O7         |                       |                       |                                                    |      A2, A4, O7       |                                                    |    A5, A6, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A5, A6         |                       |                       |                                                    |      A2, A5, A6       |                                                    |    A5, O5, O6     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A5, O5         |                       |                       |                                                    |      A2, A5, O5       |                                                    |    A5, O5, O8     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A5, O6         |                       |                       |                                                    |      A2, A5, O6       |                                                    |    A6, O1, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A5, O8         |                       |                       |                                                    |      A2, A5, O8       |                                                    |    A6, O2, O5     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A6, O1         |                       |                       |                                                    |      A2, A6, O1       |                                                    |    A6, O5, O7     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A6, O2         |                       |                       |                                                    |      A2, A6, O2       |                                                    |    O1, O5, O6     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, A6, O7         |                       |                       |                                                    |      A2, A6, O7       |                                                    |    O1, O5, O8     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O1, O5         |                       |                       |                                                    |      A2, O1, O5       |                                                    |    O2, O5, O6     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O1, O6         |                       |                       |                                                    |      A2, O1, O6       |                                                    |    O2, O5, O8     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O1, O8         |                       |                       |                                                    |      A2, O1, O8       |                                                    |    O5, O6, O7     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O2, O5         |                       |                       |                                                    |      A2, O2, O5       |                                                    |    O5, O7, O8     |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O2, O6         |                       |                       |                                                    |      A2, O2, O6       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O2, O8         |                       |                       |                                                    |      A2, O2, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O5, O7         |                       |                       |                                                    |      A2, O5, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O6, O7         |                       |                       |                                                    |      A2, O6, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A2, O7, O8         |                       |                       |                                                    |      A2, O7, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A4, A5         |                       |                       |                                                    |      A3, A4, A5       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A4, O1         |                       |                       |                                                    |      A3, A4, O1       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A4, O2         |                       |                       |                                                    |      A3, A4, O2       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A4, O7         |                       |                       |                                                    |      A3, A4, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A5, A6         |                       |                       |                                                    |      A3, A5, A6       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A5, O5         |                       |                       |                                                    |      A3, A5, O5       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A5, O6         |                       |                       |                                                    |      A3, A5, O6       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A5, O8         |                       |                       |                                                    |      A3, A5, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A6, O1         |                       |                       |                                                    |      A3, A6, O1       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A6, O2         |                       |                       |                                                    |      A3, A6, O2       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, A6, O7         |                       |                       |                                                    |      A3, A6, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O1, O5         |                       |                       |                                                    |      A3, O1, O5       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O1, O6         |                       |                       |                                                    |      A3, O1, O6       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O1, O8         |                       |                       |                                                    |      A3, O1, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O2, O5         |                       |                       |                                                    |      A3, O2, O5       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O2, O6         |                       |                       |                                                    |      A3, O2, O6       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O2, O8         |                       |                       |                                                    |      A3, O2, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O5, O7         |                       |                       |                                                    |      A3, O5, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O6, O7         |                       |                       |                                                    |      A3, O6, O7       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A3, O7, O8         |                       |                       |                                                    |      A3, O7, O8       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, A5, O2         |                       |                       |                                                    |      A4, A5, O2       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, A5, O3         |                       |                       |                                                    |      A4, A5, O3       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, A5, O4         |                       |                       |                                                    |      A4, A5, O4       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, A5, O5         |                       |                       |                                                    |      A4, A5, O5       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, A5, O9         |                       |                       |                                                    |      A4, A5, O9       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, O1, O2         |                       |                       |                                                    |      A4, O1, O2       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, O1, O3         |                       |                       |                                                    |      A4, O1, O3       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, O1, O4         |                       |                       |                                                    |      A4, O1, O4       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, O1, O5         |                       |                       |                                                    |      A4, O1, O5       |                                                    |                   |                         |                         |
|                 |                             |                     |                 |                                                    |        A4, O1, O9         |                       |                       |                                                    |      A4, O1, O9       |                                                    |                   |                         |                         |
